0,0,1,0.000115,0.000282,0.000282,0.000115,0.000280,0.000280,0.000112,0.000296,0.000296,0.000112,0.000294,0.000294
0,1,1,0.000059,0.000282,0.000282,0.000059,0.000273,0.000273,0.000049,0.000296,0.000296,0.000049,0.000286,0.000286
0,2,1,0.000277,0.000282,0.000282,0.000277,0.000282,0.000282,0.000290,0.000296,0.000296,0.000290,0.000295,0.000295
0,3,1,0.000209,0.000282,0.000282,0.000209,0.000273,0.000273,0.000215,0.000296,0.000296,0.000215,0.000286,0.000286
0,4,1,0.000077,0.000282,0.000282,0.000077,0.000260,0.000260,0.000070,0.000296,0.000296,0.000070,0.000272,0.000272
0,5,1,0.000064,0.000282,0.000282,0.000064,0.000279,0.000279,0.000055,0.000296,0.000296,0.000055,0.000293,0.000293
0,6,1,0.000246,0.000282,0.000282,0.000246,0.000280,0.000280,0.000256,0.000296,0.000296,0.000256,0.000294,0.000294
0,7,1,0.000095,0.000282,0.000282,0.000095,0.000279,0.000279,0.000089,0.000296,0.000296,0.000089,0.000293,0.000293
0,8,1,0.000094,0.000282,0.000282,0.000094,0.000270,0.000270,0.000088,0.000296,0.000296,0.000088,0.000283,0.000283
0,9,1,0.000277,0.000282,0.000282,0.000277,0.000281,0.000281,0.000290,0.000296,0.000296,0.000290,0.000295,0.000295
0,10,1,0.000099,0.000282,0.000282,0.000099,0.000273,0.000273,0.000093,0.000296,0.000296,0.000093,0.000286,0.000286
0,11,1,0.000263,0.000282,0.000282,0.000263,0.000282,0.000282,0.000275,0.000296,0.000296,0.000275,0.000295,0.000295
0,12,2,0.000242,0.000564,0.000564,0.000242,0.000540,0.000540,0.000236,0.000592,0.000592,0.000236,0.000565,0.000565
0,13,1,0.000121,0.000282,0.000282,0.000121,0.000277,0.000277,0.000118,0.000296,0.000296,0.000118,0.000291,0.000291
0,14,2,0.000244,0.000564,0.000564,0.000244,0.000563,0.000563,0.000239,0.000592,0.000592,0.000239,0.000591,0.000591
0,15,2,0.000229,0.000564,0.000564,0.000229,0.000549,0.000549,0.000221,0.000592,0.000592,0.000221,0.000575,0.000575
0,16,1,0.000115,0.000282,0.000282,0.000115,0.000277,0.000277,0.000111,0.000296,0.000296,0.000111,0.000291,0.000291
0,17,1,0.000122,0.000282,0.000282,0.000122,0.000280,0.000280,0.000119,0.000296,0.000296,0.000119,0.000293,0.000293
0,18,3,0.000351,0.000846,0.000846,0.000351,0.000837,0.000837,0.000341,0.000887,0.000887,0.000341,0.000878,0.000878
0,19,1,0.000275,0.000282,0.000282,0.000275,0.000281,0.000281,0.000289,0.000296,0.000296,0.000289,0.000295,0.000295
0,20,1,0.000258,0.000282,0.000282,0.000258,0.000281,0.000281,0.000269,0.000296,0.000296,0.000269,0.000295,0.000295
0,21,1,0.000246,0.000282,0.000282,0.000246,0.000281,0.000281,0.000257,0.000296,0.000296,0.000257,0.000295,0.000295
0,22,1,0.000271,0.000282,0.000282,0.000271,0.000280,0.000280,0.000284,0.000296,0.000296,0.000284,0.000293,0.000293
0,23,1,0.000259,0.000282,0.000282,0.000259,0.000281,0.000281,0.000271,0.000296,0.000296,0.000271,0.000295,0.000295
0,24,1,0.000227,0.000282,0.000282,0.000227,0.000281,0.000281,0.000235,0.000296,0.000296,0.000235,0.000295,0.000295
0,25,1,0.000239,0.000282,0.000282,0.000239,0.000282,0.000282,0.000248,0.000296,0.000296,0.000248,0.000295,0.000295
0,26,1,0.000280,0.000282,0.000282,0.000280,0.000282,0.000282,0.000293,0.000296,0.000296,0.000293,0.000296,0.000296
0,27,3,0.000837,0.000846,0.000846,0.000837,0.000842,0.000842,0.000878,0.000887,0.000887,0.000878,0.000884,0.000884
0,28,1,0.000198,0.000282,0.000282,0.000198,0.000281,0.000281,0.000203,0.000296,0.000296,0.000203,0.000295,0.000295
0,29,1,0.000201,0.000282,0.000282,0.000201,0.000282,0.000282,0.000207,0.000296,0.000296,0.000207,0.000296,0.000296
0,30,1,0.000192,0.000282,0.000282,0.000192,0.000281,0.000281,0.000197,0.000296,0.000296,0.000197,0.000295,0.000295
0,31,1,0.000280,0.000282,0.000282,0.000280,0.000282,0.000282,0.000294,0.000296,0.000296,0.000294,0.000296,0.000296
0,32,1,0.000214,0.000282,0.000282,0.000214,0.000281,0.000281,0.000221,0.000296,0.000296,0.000221,0.000295,0.000295
0,33,1,0.000192,0.000282,0.000282,0.000192,0.000281,0.000281,0.000197,0.000296,0.000296,0.000197,0.000295,0.000295
0,34,1,0.000201,0.000282,0.000282,0.000201,0.000278,0.000278,0.000207,0.000296,0.000296,0.000207,0.000292,0.000292
0,35,1,0.000224,0.000282,0.000282,0.000224,0.000281,0.000281,0.000231,0.000296,0.000296,0.000231,0.000295,0.000295
0,36,1,0.000173,0.000282,0.000282,0.000173,0.000268,0.000268,0.000175,0.000296,0.000296,0.000175,0.000280,0.000280
0,37,1,0.000173,0.000282,0.000282,0.000173,0.000282,0.000282,0.000176,0.000296,0.000296,0.000176,0.000295,0.000295
0,38,1,0.000216,0.000282,0.000282,0.000216,0.000281,0.000281,0.000223,0.000296,0.000296,0.000223,0.000295,0.000295
